Frequency,S33,S32,S23,S22
(3929000000+0j),(-0.6682498455+0.05036079211j),(-0.005655407906+0.005278965924j),(-0.006048417185+0.004975955933j),(-0.07328233123+0.09753295217j)
(3930000000+0j),(-0.6615412831+0.1279669374j),(-0.005104272626+0.005809833296j),(-0.005447465926+0.005578075536j),(-0.05805407465+0.09271868082j)
(3931000000+0j),(-0.6468977928+0.2039693104j),(-0.004447508138+0.006310522556j),(-0.004891604651+0.006065780763j),(-0.04399210215+0.0859634665j)
(3932000000+0j),(-0.6246954203+0.2772368094j),(-0.003794357646+0.006651303265j),(-0.00424669683+0.00653142808j),(-0.03158291429+0.0772646198j)
(3933000000+0j),(-0.5956214666+0.3462941121j),(-0.003125610063+0.006974446122j),(-0.003633962013+0.006837338675j),(-0.02073006146+0.06720890256j)
(3934000000+0j),(-0.5600722432+0.4116526333j),(-0.002540600253+0.007238660939j),(-0.00295301713+0.007159377448j),(-0.01178015862+0.05576862316j)
(3935000000+0j),(-0.5188256502+0.4720794958j),(-0.001827460015+0.007358233444j),(-0.002234672429+0.007408328354j),(-0.004660095088+0.04347565842j)
(3936000000+0j),(-0.4720704556+0.527602546j),(-0.001128139091+0.007485402748j),(-0.001529802335+0.007498732768j),(0.0003637252667+0.03036993881j)
(3937000000+0j),(-0.4215252101+0.5771811904j),(-0.0003927666112+0.007569884416j),(-0.0008932621568+0.007575604599j),(0.003326749429+0.01674194668j)
(3938000000+0j),(-0.3672188222+0.6211544757j),(0.000233355051+0.007408731151j),(-0.0001406098891+0.007576216944j),(0.004136018455+0.002844486086j)
(3939000000+0j),(-0.3099097013+0.6593199841j),(0.000940190861+0.007318703458j),(0.0005519278347+0.007552569732j),(0.002603127155-0.01099736373j)
(3940000000+0j),(-0.2500079572+0.6914611547j),(0.001640597824+0.007174191531j),(0.001264226972+0.007367788348j),(-0.001138919848-0.0245775998j)
(3941000000+0j),(-0.1887037456+0.7178257685j),(0.002192282118+0.007026678417j),(0.001936595188+0.007178387605j),(-0.006985590793-0.03737342611j)
(3942000000+0j),(-0.1263217032+0.7379859217j),(0.00265848753+0.006690074224j),(0.002458708826+0.007027272601j),(-0.01480559912-0.04932260533j)
(3943000000+0j),(-0.0633174479+0.7522998467j),(0.003336633556+0.00640128646j),(0.003079435788+0.006734931841j),(-0.02480806224-0.05987111926j)
(3944000000+0j),(-0.0006882790476+0.7611127491j),(0.003820137586+0.006150034256j),(0.003687921213+0.00642855186j),(-0.03639024496-0.06900385526j)
(3945000000+0j),(0.06149975955+0.7642509167j),(0.004366517998+0.005715725943j),(0.004217937123+0.006028867792j),(-0.04939421639-0.07619507243j)
(3946000000+0j),(0.1233757809+0.7623148083j),(0.004816270433+0.005347983912j),(0.004653444979+0.005594295915j),(-0.0635830909-0.0816981029j)
(3947000000+0j),(0.1839714795+0.7552685491j),(0.005206588656+0.004870899487j),(0.005032708403+0.005203465465j),(-0.07869712263-0.0849119329j)
(3948000000+0j),(0.2426098436+0.7435565738j),(0.005487748422+0.00435511535j),(0.005440946203+0.00462430995j),(-0.09436507523-0.08617955774j)
(3949000000+0j),(0.3003123701+0.7270579736j),(0.005889735185+0.003854367184j),(0.005831930321+0.004135477357j),(-0.1104683578-0.08543774501j)
(3950000000+0j),(0.3552929163+0.7064567398j),(0.006171194836+0.00332835759j),(0.006115917582+0.003656118177j),(-0.1268319786-0.0825083306j)
(3951000000+0j),(0.4074465632+0.6818348793j),(0.006331005599+0.00281190942j),(0.006378982216+0.003143627895j),(-0.1433428675-0.07742044187j)
(3952000000+0j),(0.4577558935+0.6529561993j),(0.006539487746+0.002358526923j),(0.006594628096+0.002569175558j),(-0.1593110412-0.06979709473j)
(3953000000+0j),(0.504914403+0.6212004216j),(0.006636485923+0.001837317715j),(0.006825598422+0.002059404505j),(-0.174762845-0.06012516723j)
(3954000000+0j),(0.5489842296+0.5859027539j),(0.006771675311+0.001235657954j),(0.006855067331+0.001416784595j),(-0.1892942637-0.04820743369j)
